date,aircraft_type,registration,operator,fatalities,location,category,narrative,aircraft_damage,phase,nature,departure_airport,destination_airport,other_fatalities,msn,fatalities_breakdown,aircraft_type_detailed,operator_detailed,location_detailed,country,class,class_name,confidence_score
10-May-19,de Havilland Canada DHC-8-311 Dash 8,C-FJXZ,"Air Canada Express, opb Jazz Aviation",0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub,"Air Canada Express flight 8615, a DHC-8-311, collided with a fuel truck while taxiing to gate at Toronto Pearson Airport in Canada.Five persons were injured in the accident.Flight 8615 departed Toronto on May 9, 23:03 hours local time, on a domestic flight to Sudbury. Visibility at Sudbury was poor and the flight was not able to land. The flight crew elected to return to Toronto, where a normal landing was made at 01:25 hours local time (May 10). As the aircraft was taxiing to the gate, a collision occurred with a fuel truck. The aircraft spun and sustained serious damage to the left side of the flight deck. The left hand rear cargo door was pushed inward and the no.1 propeller also suffered damage.Findings as to causes and contributing factors:1. The limited field of view to the right of the fuel tanker driverÂs cab caused by the front elevating service platform and its structural elements, along with the condensation on the windows, resulted in the driver being unable to see the aircraft in time to avoid the collision.2. The captain had a clear field of view in the direction of the oncoming fuel tanker but the visibility was limited due to darkness, rain, and reflected light, and he did not see the oncoming tanker during the critical moments before the collision.","Substantial, written off",Taxi,Passenger - Scheduled,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)","Sudbury Airport, ON (YSB/CYSB)",0,264,Fatalities: 0 / Occupants: 56,de Havilland Canada DHC-8-311 Dash 8,"Air Canada Express, opb Jazz Aviation","TorontoâLester B. Pearson International Airport, Ontario (YYZ) -Canada",,GCOL,Ground Collision,1
11-May-19,Cessna 208B Supervan 900,C-FCPM,Parachutisme Nouvel Air,0,"Saint-Esprit Aerodrome, QC",sub,"The Cessna 208B aircraft operated by Nouvel Air Parachuting, was on a skydiving flight from Saint-Esprit Aerodrome (CES2), Canada. Following the drop of parachutists, the pilot returned to CES2 and, on the visual approach to runway 20, the aircraft encountered a wind shear on short final. The aircraft lost altitude and the pilot was not able to slow the descent; it collided heavily with the ground. The wheel of nose collapsed, and the propeller contacted the ground. The pilot and the passenger on board were not injured.","Substantial, repaired",Landing,Parachuting,"Saint-Esprit Aerodrome, QC","Saint-Esprit Aerodrome, QC",0,208B0638,Fatalities: 0 / Occupants: 2,Cessna 208B Supervan 900,Parachutisme Nouvel Air,"Saint-Esprit Aerodrome, QC -Canada",,GCOL,Ground Collision,1
29-May-19,Antonov An-124-100,5A-DKN,Libyan Air Cargo,0,Tripoli International Airport (TIP),w/o,"An Antonov An-124 cargo plane was damaged beyond repair after being hit by shelling during fighting near the airport.Reports are that this was a GNA (Government of National Accord) offensive to capture Tripoli International Airport from LNA (Libyan National Army). The aircraft was hit in the centre/rear fuselage.In a second attack on June 19, the aircraft was hit again and was largely consumed by fire.","Destroyed, written off",Standing,-,-,-,0,19530502792,Fatalities: 0 / Occupants: 0,Antonov An-124-100,Libyan Air Cargo,Tripoli International Airport (TIP) -Libya,,GCOL,Ground Collision,1
8-Jul-19,Canadair CL-215-6B11 (CL-415),C-FAWQ,Gouvernement du Québec,0,"83 km NW of Roberval Airport, QC (YRJ)",sub,"A Canadair CL-415 aircraft operated by the Government of Quebec, was operating flight Q239 under flight rules from Roberval (CYRJ), QC to a forest fire located approximately 45 nautical miles (83 km) away northwest of CYRJ, with two pilots on board.During a scooping manoeuvre on a lake, the aircraft's hull collided with a shoal, causing damage to it. The crew ceased firefighting operations and returned to CYRJ where the aircraft landed safely.Once the damage was assessed, a flight permit was issued to return the aircraft to the main operations base for repair.",Substantial,Landing,Fire fighting,"Roberval Airport, QC (YRJ/CYRJ)","Roberval Airport, QC (YRJ/CYRJ)",0,1115,Fatalities: 0 / Occupants: 2,Canadair CL-215-6B11 (CL-415),Gouvernement du QuÃ©bec,"83 km NW of Roberval Airport, QC (YRJ) -Canada",,BIRD,Birdstrike,1
12-Jul-19,Cessna 525 CitationJet,N262BK,"Omicron Business Services, LLC",0,"Orlando Executive Airport, FL (ORL)",sub,"The pilot reported that, while being vectored for an instrument landing system approach on an instrument flight plan, he flew through some clouds and encountered multiple birds. He added that one bird struck the left wing.The airplane sustained substantial damage to the left wing.Probable Cause: ""The airplane's impact with a bird during approach.""",Substantial,Landing,Private,"Asheville Municipal Airport, NC (AVL/KAVL)","Orlando Executive Airport, FL (ORL/KORL)",0,525-0262,Fatalities: 0 / Occupants: 3,Cessna 525 CitationJet,"Omicron Business Services, LLC","Orlando Executive Airport, FL (ORL) -United States of America",,BIRD,Birdstrike,1
15-Aug-19,Airbus A321-211,VQ-BOZ,Ural Airlines,0,ca 5 km SE of Zhukovsky International Airport (ZIA),sub,"Ural Airlines Flight 178, an Airbus A321-211, registration VQ-BOZ, was substantially damaged when it force landed to a cornfield shortly after takeoff due to a dual bird strike and engine failure. Ten passengers were injured.The aircraft with 226 passengers and 7 crew, was in the initial climb through 750 feet out of Zkukovsky's runway 12 when the aircraft flew through a flock of seagulls and ingested birds into both engines (CFM56). Both engines lost power forcing the crew to stop the climb at 750 feet and land the aircraft in a corn field about 2-3nm past the runway with gear retracted. The occupants of the aircraft evacuated via slides.","Substantial, written off",Initial climb,Passenger - Scheduled,Zhukovsky International Airport (ZIA/UUBW),Simferopol Airport (SIP/URFF),0,2117,Fatalities: 0 / Occupants: 233,Airbus A321-211,Ural Airlines,ca 5 km SE of Zhukovsky International Airport (ZIA) -Russia,,BIRD,Birdstrike,1
16-Aug-19,de Havilland Canada DHC-8-200,5Y-SLM,Safarilink Aviation,0,Kichwa Tembo Airstrip,sub,"A SafariLink DHC-8-200 suffered a left-hand landing gear failure after striking several wildebeest on landing at the Kichwa Tembo Airstrip in the Maasai Mara National Reserve, Kenya.The occupants were not injured; the aircraft sustained damage to the left-hand main gear and no.1 propeller. Two wildebeest were killed in the accident.","Substantial, written off",Landing,Passenger - Scheduled,Nairobi-Wilson Airport (WIL/HKNW),Kichwa Tembo Airstrip,0,506,Fatalities: 0 / Occupants:,de Havilland Canada DHC-8-200,SafariLink,Kichwa Tembo Airstrip -Kenya,,BIRD,Birdstrike,1
21-Aug-19,Cessna 750 Citation X,1060,Fuerza Aérea Venezolana - FAV,0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),w/o,"The aircraft was originally confiscated by the Venezualan government during a drugs enforcement operation.Upon takeoff, during a test flight, the airplane sustained a runway excursion with a subsequent landing gear collapse. There were no personal injuries.","Destroyed, written off",Take off,Military,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),0,750-0134,Fatalities: 0 / Occupants:,Cessna 750 Citation X,Fuerza AÃ©rea Venezolana - FAV,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM) -Venezuela,,RE,Runway excursion,1
24-Sep-19,Cessna 208 Caravan,1917,Department of Royal Rainmaking and Agricultural Aviation,2,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,w/o,A Cessna 208 Caravan rain making plane was destroyed after impacting terrain during a training flight. The instructor pilot and trainee died in the crash.The aircraft was being used by the Department of Royal Rainmaking and Agricultural Aviation in Thailand for cloud seeding operations. This process of artificial rain making is used to combat drought in farming areas.,"Destroyed, written off",En route,Military,Kanchanaburi-Surasi Air Base (VTBG),Kanchanaburi-Surasi Air Base (VTBG),0,20800267,Fatalities: 2 / Occupants: 2,Cessna 208 Caravan,Department of Royal Rainmaking and Agricultural Aviation,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province -Thailand,,LOC-I,Loss of control - inflight,1
18-Oct-19,Douglas DC-3C,N437GB,Atlantic Air Cargo,0,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS)",unk,"The Douglas DC-3C cargo aircraft ditched to the waters of the Atlantic Ocean while on approach to Lynden Pindling International Airport (NAS/MYNN), Nassau, Bahamas.The pilot reported that the left engine failed approximately 25-30 nautical miles from MYNN. During single engine operation, the aircraft performance was not optimal and the flight was not able to reach Nassau Airport. The decision was made to land the aircraft in the ocean. The airplane submerged and the two pilots onboard were not injured during the incident.No Probable Cause statement was issued.","Unknown, written off",Approach,Cargo,"Miami-Opa locka Executive Airport, FL (OPF/KOPF)",Nassau-Lynden Pindling International Airport (NAS/MYNN),0,19999,Fatalities: 0 / Occupants: 2,Douglas DC-3C,Atlantic Air Cargo,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS) -Bahamas",,LOC-G,Loss of control - ground,1
22-Oct-19,Basler BT-67 Turbo 67 (DC-3T),FAS116,Fuerza Aérea Salvadoreña,0,San Salvador/Ilopango International Airport (SAL),sub,"A Turbo DC-3 operated by the El Salvador Air Force suffered a runway excursion on takeoff for a paratrooper mission. The aircraft crossed a taxiway and a ditch, causing the main landing gear to collapse.",Substantial,Take off,Military,San Salvador/Ilopango International Airport (SAL/MSSS),,0,33282/16534,Fatalities: 0 / Occupants: 7,Basler BT-67 Turbo 67 (DC-3T),Fuerza AÃ©rea SalvadoreÃ±a,San Salvador/Ilopango International Airport (SAL) -El Salvador,,RE,Runway excursion,1
26-Oct-19,Airbus A330-341,PK-GPE,Garuda Indonesia Airways,0,near Banda Aceh (BTJ),non,"Garuda flight GA972, an Airbus A330-341, encountered turbulence.The flight was a service from Surakarta (SOC) to Jeddah (JED) with an en route stop at Banda Aceh (BTJ).It is unclear on what leg the turbulence occurred.",,En route,Passenger - Non-Scheduled/charter/Air Taxi,,,0,148,Fatalities: 0 / Occupants:,Airbus A330-341,Garuda Indonesia Airways,near Banda Aceh (BTJ) -Indonesia,,TURB,Turbulence encounter,1
29-Oct-19,de Havilland Canada DHC-8-402Q Dash 8,N402QX,Horizon Air,0,"near Boise, ID",sub,"Horizon Air as flight 2337, a DHC-8, N402QX, struck a bird during climb out from Boise Airport (KBOI), Idaho. After the collision, the flight crew saw visual evidence of the bird remains on the left wing, determined there were no indications of control problems, and decided to continue to Seattle/Tacoma International Airport (KSEA), Washington, where the flight landed with no further incident.Postflight inspection of the airplane revealed that the the bird impact had partially severed the left wing leading edge composite structure and cracked the front spar web.Probable Cause: a bird strike during climb out.",Substantial,Initial climb,Passenger - Scheduled,"Boise Airport, ID (BOI/KBOI)","Seattle/Tacoma International Airport, WA (SEA/KSEA)",0,4032,Fatalities: 0 / Occupants: 80,de Havilland Canada DHC-8-402Q Dash 8,Horizon Air,"near Boise, ID -United States of America",,BIRD,Birdstrike,1
31-Oct-19,Beechcraft 200 Super King Air,N850BK,Rpm Consulting LLC,0,"New Braunfels, Texas",min,"The pilot reported that the airplane was descending through 2,500 ft while about 200 knots when a single bird struck the upper left corner of the pilot-side windshield. The windshield was broken and cracked by the impact. The pilot was seriously injured by flying glass that ejected from the broken inner ply's surface, which affected his vision. The passenger in the cabin moved up into the copilot's seat, and while being instructed by the pilot, landed the airplane without further incident. The airplane sustained minor damage to the windshield. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation.Probable Cause: The airplane's in-flight collision with a bird.",Minor,En route,Executive,"Dallas-Addison Airport, TX (ADS/KADS)","New Braunfels Regional Airport, TX (KBAZ)",0,BB-896,Fatalities: 0 / Occupants: 2,Beechcraft 200 Super King Air,Rpm Consulting LLC,"New Braunfels, Texas -United States of America",,BIRD,Birdstrike,1
6-Dec-19,British Aerospace BAe-125-800A,(N293WB),private,0,"0,4 km NW of Chan Chen, Corozal",w/o,"A British Aerospace BAe-125 jet was found burned at an illegal airstrip near Chan Chen, Belize, 6 km south of the border with Mexico.The authorities presume that the aircraft may have been used to transport illegal drugs. It was then likely set on fire to destroy evidence of its cargo. The aircraft is said to have carried a fake registration 'N5461'.The aircraft's presumed identity is N293WB, msn 258009. The aircraft type as well as colour schema on engine and tail of the destroyed aircraft matches that of N293WB. Furthermore. N293WB was recently offered for sale and was last observed on flight tracking websites at Tapachula in southern Mexico on December 4, 2019.","Destroyed, written off",Standing,Illegal Flight,,,0,258009,Fatalities: 0 / Occupants: 0,British Aerospace BAe-125-800A,private,"0,4 km NW of Chan Chen, Corozal -Belize",,CFIT,"Inflight collision or near collision with terrain, water, or obstacle without indication of loss of control",1
10-Dec-19,de Havilland Canada DHC-8-402Q Dash 8,ET-AQC,Ethiopian Airlines,0,Juba Airport (JUB),sub,"An Ethiopian Airlines DHC-8-402Q, operating flight ET357 from Entebbe to Juba and Addis Ababa, suffered a runway excursion during takeoff from Juba Airport, South Sudan.The left-hand main landing gear collapsed and no.1 propeller blades shattered, puncturing the fuselage.","Substantial, written off",Take off,Passenger - Scheduled,Juba Airport (JUB/HSSJ),Addis Ababa-Bole Airport (ADD/HAAB),0,4421,Fatalities: 0 / Occupants: 21,de Havilland Canada DHC-8-402Q Dash 8,Ethiopian Airlines,Juba Airport (JUB) -South Sudan,,RE,Runway excursion,1
15-Dec-19,Grumman American G-1159 Gulfstream IISP,(XB-BZH),private,0,Quiché,w/o,"Guatemalan military forces detected four aircraft illegally entering the country's airspace. One of these aircraft was later located on an illegal airstrip in QuichÃ©. The corporate jet was destroyed by fire.The aircraft had likely been used for the trafficking of narcotics and subsequently set afire. The registration on the tail fin was partially washed out and read ""XB-BZH"" or similar.The aircraft likely involved was msn 164, last officially registered as XB-BBO.","Destroyed, written off",Standing,Illegal Flight,,,0,164,Fatalities: 0 / Occupants: 0,Grumman American G-1159 Gulfstream IISP,private,QuichÃ© -Guatemala,,OTHR,Other,1
21-Dec-19,Boeing 737-7BD (WL),N7739A,Southwest Airlines,0,"near Kansas City International Airport, MO (MCI)",sub,"Southwest Airlines flight 5246, a Boeing 737-700, struck a bird while descending to Kansas City International Airport, Missouri. The airplane sustained substantial damage to the fuselage.According to the flight crew, the airplane was on the downwind leg for arrival on runway 19R at KMCI. As the airplane was descending through 10,000 feet-msl altitude, the flight crew noticed a white object go through the landing lights and heard a loud bang from the from fuselage below their feet. The flight crew checked engine parameters for any anomalies and the airplane for any damage, and none was found. The flight landed uneventfully, and post flight inspection of the airplane revealed evidence of a bird strike and dents in the lower right fuselage skin. Further inspection revealed two internal frames were bent and fractured.Probable Cause: ""A bird strike during descent""","Substantial, repaired",Approach,Passenger - Scheduled,"Washington-Ronald Reagan National Airport, DC (DCA/KDCA)","Kansas City International Airport, MO (MCI/KMCI)",0,35110/2147,Fatalities: 0 / Occupants: 141,Boeing 737-7BD (WL),Southwest Airlines,"near Kansas City International Airport, MO (MCI) -United States of America",,BIRD,Birdstrike,1
28-Dec-19,Let L-410UVP-E,9S-GDX,Air Fast Congo,0,Kamina Airport (KMN),sub,"A Let L-410 suffered a runway excursion while landing on the wet gravel airstrip of Kamina Airport in D.R. Congo.The aircraft swung to the right and went off the runway. The nose landing gear collapsed and the aircraft sustained damage to the nose section, left main landing gear and left hand wing tip tank.The passengers, provincial deputies, were not injured in the accident.",Substantial,Landing,Passenger - Scheduled,Lubumbashi International Airport (FBM/FZQA),Kamina Airport (KMN/FZSA),0,871816,Fatalities: 0 / Occupants: 18,Let L-410UVP-E,Air Fast Congo,Kamina Airport (KMN) -Congo (Democratic Republic),,RE,Runway excursion,1
8-Jan-20,Boeing 737-8KV (WL),UR-PSR,Ukraine International Airlines,176,near Sabashahr,w/o,"Ukraine International Airlines flight 752, a Boeing 737-800, was struck by a missile takeoff from Tehran Imam Khomeini International Airport, Iran, and crashed. Al 167 passengers and nine crew members on board were killed.The Boeing 737-800, registration UR-PSR, had landed on schedule at 00:57 hours local time at Tehran. The return leg back to Kiev was due to depart at 05:15 local time (01:45 UTC).In the meantime, around 02:15 hours local time in Iran, numerous ballistic missiles were fired from Iran towards U.S. bases in Iraq in response to the killing of Major General Qasem Soleimani by a United States drone strike.As a result this military operation changed the alertness level of Iran's air defense. At approximately 04:00 the military sector informed the civil sector of the country's Airspace Control that only the flights already detected and cleared for flight operations by the defense network could be permitted to start up. This would ensure the correct identification of civil flights by the defense network and avoiding targeting them by mistake.At 05:49 the doors were closed and the aircraft was ready to depart. Two minutes later the flight requested the to start up the engines.After contacting the Area Control Center, the ATC unit requested clearance for the Ukrainian flight at 05:52. The Area Control Center forwarded the request for flight PS752 to the Air Defense Coordination Center, which subsequently issued the clearance accordingly.The aircraft then taxied to runway 29R and commenced the takeoff roll at 06:11. After takeoff the flight contacted Mehrabad Radar and was cleared to climb to FL260 and turn right after reaching 6000 feet, heading direct to the PAROT reporting point.As the aircraft was climbing after departure, it appeared on the air defense system. However, a wrong initialisation procedure of the system's north alignment had induced a 107-degree error in the system. Thus, the direction of objects and targets detected by this system was being observed with an increase of 107 degrees by the operator.At 06:13:56, the air defense unit operator detected a target at his 250-degree azimuth, flying on a 52-degree course. At the same time, PS752 had been flying towards the defense system from a 143-degree azimuth. The aircraft was flying a 309-degree course.At 06:14:21, the operator notified the specifications of the detected target to the Coordination Center over the communication network.  The notification was not communicated successfully.Meanwhile the system operator began analyzing the observable information and categorized the detected target as a threat. At 06:14:41, without receiving any response from the Coordination Center, the air defense unit operator fired a missile at the threatening target he had detected.Under the applicable procedures, if the defense system operator cannot establish communication with the Coordination Center and does not receive the fire command, they are not authorized to fire.The missile radio fuse was activated at 06:14:59. At that point flight PS752 was at 8100 feet at a position about 20 km west-northwest of the airport.After the first missile radio fuse was activated, the air defense unit radar still locked on the target, and the defense system kept detecting and tracking it. By observing the continuity of trajectory of detected target, the second missile was fired at the aircraft by the operator of defense system at 06:15:11.At 06:45:24, the last communication between the missile and the defense system was recorded in a place close to the aircraft route. After that, the defense system showed a message indicating the strike had failed, with the aircraft clearing from the radar lock-on after some time.The aircraft turned to the right and about 06:16:11, a fire broke out on the aircraft, which was intensifying. Altitude was lost and at 06:18:23, the aircraft crashed into a playground in Khalajabad near Shahedshahr area, 15 km north of the airport. It disintegrated completely and wreckage was strewn along a 300 m long path.Cause of the AccidentThe air defense's launching two surface-to-air missiles at the flight PS752, UR-PSR aircraft the detonation of the first missile warhead in proximity of the aircraft caused damage to the aircraft systems and the intensification of damage led the aircraft to crash into the ground and explode instantly.Other Contributing Factors- The mitigating measures and defense layers in risk management proved to be ineffective due to the occurrence of an unanticipated error in threat identifications, and ultimately failed to protect the flight safety against the threats caused by the alertness of defense forces.","Destroyed, written off",En route,Passenger - Scheduled,Tehran-Imam Khomeini International Airport (IKA/OIIE),Kyiv-Borispol Airport (KBP/UKBB),0,38124/5977,Fatalities: 176 / Occupants: 176,Boeing 737-8KV (WL),Ukraine International Airlines,near Sabashahr -Iran,,CFIT,"Inflight collision or near collision with terrain, water, or obstacle without indication of loss of control",1
